,coda,set_mean,Word,CobLog,CompCnt,PhonDISC,Class,SylCnt,OccurTotal,OccurNum,Freq_pm,Rating.Mean,Rating.SD,Dunno,AoA_mean,onset,word_length,aoa_impact,set_size
339,$bP,10.925,bauble,0.0,1,b$bP,N,2,20.0,16.0,0.43,10.94,2.91,0.8,10.94,b,4,0.014999999999998792,2
340,$bP,10.925,warble,0.0,1,w$bP,N,2,18.0,11.0,0.2,10.91,5.2,0.61,10.91,w,4,-0.015000000000000568,2
341,$d,10.370000000000001,bawd,0.0,1,b$d,N,1,20.0,10.0,0.16,15.0,3.62,0.5,15.0,b,3,4.629999999999999,7
342,$d,10.370000000000001,chord,0.7,1,k$d,N,1,19.0,17.0,1.82,9.71,4.84,0.89,9.71,k,3,-0.6600000000000001,7
343,$d,10.370000000000001,ford,0.0,1,f$d,N,1,21.0,21.0,11.51,8.1,3.74,1.0,8.1,f,3,-2.2700000000000014,7
344,$d,10.370000000000001,hoard,0.0,1,h$d,N,1,18.0,18.0,0.45,10.61,3.4,1.0,10.61,h,3,0.23999999999999844,7
345,$d,10.370000000000001,laud,0.0,1,l$d,V,1,20.0,14.0,0.12,13.0,5.36,0.7,13.0,l,3,2.629999999999999,7
346,$d,10.370000000000001,sword,1.23,1,s$d,N,1,20.0,20.0,26.18,5.45,1.43,1.0,5.45,s,3,-4.920000000000001,7
347,$d,10.370000000000001,ward,1.49,1,w$d,N,1,19.0,18.0,14.25,10.72,2.89,0.95,10.72,w,3,0.34999999999999964,7
351,$dH,12.215,cordon,0.3,1,k$dH,N,2,18.0,14.0,0.96,13.43,2.44,0.78,13.43,k,4,1.2149999999999999,2
